date,One Direction,5sos,BTS,Mother Mother
2010-01-01,0,0,1,52
2010-02-01,0,0,1,55
2010-03-01,0,0,2,52
2010-04-01,0,0,2,56
2010-05-01,0,0,2,69
2010-06-01,0,0,2,49
2010-07-01,0,0,1,50
2010-08-01,0,0,2,48
2010-09-01,0,0,2,52
2010-10-01,0,0,2,53
2010-11-01,1,0,2,56
2010-12-01,1,0,1,56
2011-01-01,0,0,1,69
2011-02-01,1,0,1,68
2011-03-01,0,0,1,65
2011-04-01,1,0,1,71
2011-05-01,0,0,2,80
2011-06-01,0,0,2,56
2011-07-01,0,0,1,55
2011-08-01,2,0,2,54
2011-09-01,2,0,1,66
2011-10-01,3,0,1,65
2011-11-01,5,0,1,77
2011-12-01,7,0,1,85
2012-01-01,12,0,1,94
2012-02-01,16,0,1,89
2012-03-01,49,0,2,85
2012-04-01,100,0,1,78
2012-05-01,65,0,2,94
2012-06-01,77,0,1,65
2012-07-01,73,0,2,69
2012-08-01,63,0,2,66
2012-09-01,58,0,2,79
2012-10-01,46,0,1,72
2012-11-01,78,0,2,70
2012-12-01,73,0,1,80
2013-01-01,65,0,1,77
2013-02-01,52,1,2,74
2013-03-01,47,1,1,73
2013-04-01,37,2,1,77
2013-05-01,34,2,2,100
2013-06-01,43,9,2,65
2013-07-01,52,19,3,65
2013-08-01,59,24,3,62
2013-09-01,45,15,3,72
2013-10-01,30,12,3,77
2013-11-01,53,9,3,75
2013-12-01,58,12,2,71
2014-01-01,38,12,3,75
2014-02-01,30,28,4,78
2014-03-01,24,28,4,83
2014-04-01,24,40,4,100
2014-05-01,23,51,4,85
2014-06-01,21,66,4,63
2014-07-01,22,90,5,65
2014-08-01,28,100,8,62
2014-09-01,26,71,6,65
2014-10-01,24,59,4,62
2014-11-01,35,65,5,62
2014-12-01,29,58,6,64
2015-01-01,22,50,7,64
2015-02-01,18,40,7,65
2015-03-01,30,39,7,64
2015-04-01,19,36,8,73
2015-05-01,16,36,10,84
2015-06-01,16,36,11,65
2015-07-01,23,53,13,63
2015-08-01,28,66,11,62
2015-09-01,19,45,11,62
2015-10-01,19,52,11,61
2015-11-01,28,42,16,62
2015-12-01,22,45,21,66
2016-01-01,21,29,16,67
2016-02-01,14,23,15,66
2016-03-01,12,19,15,70
2016-04-01,9,18,16,74
2016-05-01,8,17,23,86
2016-06-01,8,22,21,67
2016-07-01,9,34,19,65
2016-08-01,7,19,17,59
2016-09-01,7,18,16,68
2016-10-01,6,12,24,60
2016-11-01,6,11,23,62
2016-12-01,6,12,28,63
2017-01-01,5,9,25,66
2017-02-01,5,7,32,63
2017-03-01,5,7,32,64
2017-04-01,5,6,32,70
2017-05-01,5,6,42,82
2017-06-01,5,6,34,61
2017-07-01,5,6,34,65
2017-08-01,5,6,31,64
2017-09-01,4,4,40,83
2017-10-01,4,4,36,64
2017-11-01,4,4,65,61
2017-12-01,4,4,62,64
2018-01-01,4,5,68,65
2018-02-01,3,10,53,63
2018-03-01,4,9,52,63
2018-04-01,4,12,61,65
2018-05-01,3,7,96,85
2018-06-01,3,18,67,58
2018-07-01,4,13,59,59
2018-08-01,3,13,71,59
2018-09-01,3,13,85,60
2018-10-01,3,9,71,55
2018-11-01,3,8,62,57
2018-12-01,3,7,66,56
2019-01-01,3,7,60,60
2019-02-01,3,9,68,59
2019-03-01,3,6,64,59
2019-04-01,3,5,91,63
2019-05-01,3,6,100,75
2019-06-01,3,7,73,68
2019-07-01,3,6,62,57
2019-08-01,2,7,59,53
2019-09-01,3,7,48,53
2019-10-01,3,7,47,54
2019-11-01,3,6,52,56
2019-12-01,4,6,54,56
2020-01-01,4,4,75,58
